compound_id,compound_class,molecular_weight,logP,dose_uM,alt_fold_change,ast_fold_change,ggt_fold_change,hepatotox_label
CMP032,A,400.61,2.97,3.726,4.179,4.332,3.442,1
CMP033,A,473.39,4.3,0.202,14.378,12.976,6.608,1
CMP034,C,367.12,2.89,31.65,2.886,3.171,4.202,1
CMP035,D,395.51,2.07,0.143,1.974,1.56,1.979,0
CMP036,A,393.73,4.04,59.501,9.531,9.063,9.047,1
CMP037,D,316.4,3.16,0.198,5.674,7.454,4.676,1
CMP038,D,476.26,4.6,33.941,11.768,11.547,4.512,1
CMP039,B,385.41,2.84,51.046,11.312,13.017,7.91,1
CMP040,C,431.19,1.01,86.838,0.828,0.798,4.046,1
CMP041,A,475.67,0.82,25.473,0.912,0.94,1.507,0
CMP042,D,472.42,4.75,21.799,5.73,5.398,5.988,1
CMP043,C,493.21,4.84,8.462,4.221,3.909,5.19,1
CMP044,B,420.64,2.37,21.726,6.546,5.504,4.238,1
CMP045,A,389.79,2.1,0.253,3.094,3.126,1.812,1
CMP046,D,422.43,4.5,4.057,12.296,10.215,9.963,1
CMP047,B,269.7,1.16,3.489,1.91,1.993,2.188,0
CMP048,D,292.52,1.44,37.387,1.397,1.54,2.202,0
CMP049,C,304.34,3.44,2.446,3.89,3.895,3.209,1
CMP050,D,335.26,2.09,1.43,3.961,3.604,4.47,1
CMP051,D,467.98,2.59,8.293,7.117,7.214,3.318,1
CMP052,A,343.98,2.39,0.63,3.683,3.34,1.844,1
CMP053,B,394.07,3.04,0.263,7.135,7.713,4.757,1
CMP054,B,553.43,4.43,2.714,14.937,10.361,9.756,1
CMP055,B,396.15,2.72,1.781,6.686,6.037,6.172,1
CMP056,A,500.06,3.44,0.499,4.82,3.236,3.868,1
CMP057,C,341.31,-0.07,1.266,0.871,0.645,0.4,0
CMP058,A,410.48,2.54,1.257,2.602,2.969,2.27,0
CMP059,C,339.75,1.5,0.96,2.192,2.357,1.429,0
CMP060,C,397.79,1.02,1.375,2.47,2.098,2.537,0
CMP061,D,509.83,1.46,11.409,3.334,2.466,2.538,1
CMP062,C,265.9,2.17,0.777,3.156,1.688,1.996,1
CMP063,B,471.27,3.79,70.238,7.624,6.663,9.353,1
CMP064,D,452.58,0.88,56.11,3.115,4.014,5.056,1
CMP065,B,373.56,2.64,2.772,8.537,8.63,7.279,1
CMP066,B,292.62,1.97,0.966,1.922,1.675,0.832,0
CMP067,D,436.85,2.17,4.039,2.812,2.855,2.573,0
CMP068,B,379.7,3.9,35.13,4.578,3.348,3.892,1
CMP069,A,452.1,3.3,9.073,1.27,1.153,1.375,0
CMP070,B,432.08,4.34,25.893,7.588,7.314,4.566,1
CMP071,D,582.17,2.4,3.964,7.606,7.134,6.542,1
CMP072,A,407.26,1.7,7.921,1.88,1.994,1.424,0
CMP073,B,332.77,2.31,0.732,5.76,5.75,2.872,1
CMP074,A,447.03,2.92,16.021,5.218,5.446,5.3,1
CMP075,C,450.9,2.83,0.405,5.647,4.821,4.525,1
CMP076,B,559.12,1.19,12.145,3.531,3.799,2.701,1
CMP077,B,509.34,2.72,38.208,11.089,13.063,13.063,1
CMP078,A,463.9,2.9,0.249,3.311,2.696,2.202,1
CMP079,C,569.01,5.87,6.968,5.819,4.805,4.681,1
CMP080,C,317.07,5.04,0.193,4.932,5.607,3.972,1
CMP081,D,369.22,1.49,15.037,2.066,1.908,1.895,0
CMP082,B,341.98,2.23,0.179,3.439,3.942,2.91,1
CMP083,A,392.97,0.7,64.242,1.309,1.162,3.412,1
CMP084,D,299.21,1.83,0.258,6.464,7.457,4.326,1
CMP085,C,490.34,3.01,75.273,7.154,6.928,10.327,1
CMP086,C,408.89,4.17,25.273,2.594,2.558,2.417,0
CMP087,A,290.27,1.65,6.04,2.514,2.939,0.914,0
CMP088,B,333.52,1.75,22.278,2.743,2.467,3.832,1
CMP089,D,459.78,-0.19,24.285,2.859,2.339,4.573,1
CMP090,D,509.62,2.39,68.878,5.1,4.525,6.167,1
CMP091,B,619.69,1.22,0.576,1.613,1.635,0.608,0
CMP092,D,706.82,1.91,5.892,7.019,5.129,5.064,1
CMP093,D,469.37,1.46,0.193,3.033,3.152,2.109,1
CMP094,B,335.99,2.48,7.055,4.381,3.832,3.402,1
CMP095,D,227.46,0.31,0.326,1.686,1.873,0.902,0
CMP096,B,455.43,0.69,4.953,2.303,1.416,2.192,0
CMP097,A,352.77,5.37,5.215,8.706,7.312,7.651,1
CMP098,C,390.54,0.93,2.5,1.523,1.087,0.787,0
CMP099,C,371.85,1.17,3.697,2.086,1.741,2.004,0
CMP100,A,416.62,4.99,19.578,7.455,7.341,9.435,1
